names,scores,longitude,latitude,mean_price,comment,cluster
ccake蛋糕（环城北路店）,4.9,109.214874,34.371090,53,252,4
鲜羔楼三味火锅,4.4,108.825445,34.252499,63,3398,5
拾堂（土门店）,4.0,108.871692,34.261529,40,1321,1
聚福生葫芦头,4.0,108.960761,34.341883,29,1594,1
望江楼饭庄,4.2,108.951540,34.333566,30,2410,5
ccake蛋糕（交大乐居场店）,4.9,108.976066,34.243867,71,1992,4
老机场重庆跳水鱼老店,3.9,108.908006,34.257168,58,1184,1
京都肉饼王,4.9,108.948863,34.205027,12,3783,4
花语溪（西安小寨店）,4.7,108.941210,34.226420,83,10,4
中田餐饮古城老菜馆（华东店）,4.4,108.945511,34.203182,38,2126,5
醉仙楼,4.3,109.095560,34.535013,30,1179,5
黑土情酱骨庄,4.0,108.912946,34.214447,36,939,1
希雅美烘焙（三十米路店）,4.3,109.319160,34.143112,18,1765,5
春阳茶事（gogo街区店）,4.6,108.911569,34.157815,17,24,5
诚净和,4.2,109.094955,34.533214,33,951,5
荷韵泡姜鸡特色火锅（凤城五路店）,4.3,108.948134,34.331213,51,1254,5
灞原嘹咋咧面馆（万科店）,4.5,108.893807,34.163780,17,16,5
员苑咖啡,4.4,108.946280,34.261467,32,717,5
